Primary_study;Chasan2014;Gilinsky2015;Guo2016;Middleton2014;Morton2014;Peacock2014
Cheung2011;multiple;multiple;multiple;not included;not included;multiple
Clark2009;not included;not included;not included;single;not included;not included
Ferrara2011;multiple;multiple;multiple;not included;not included;multiple
Hu2012;multiple;multiple;multiple;not included;not included;not included
Ji2011;not included;not included;single;not included;not included;not included
Kim2012;multiple;multiple;multiple;not included;not included;multiple
Mclntyre2012;multiple;multiple;multiple;not included;not included;multiple
Peterson1995;not included;single;not included;not included;not included;not included
Ratner2008;multiple;multiple;multiple;not included;multiple;multiple
Reinhardt2012;multiple;multiple;multiple;not included;not included;multiple
Shek2014;not included;multiple;multiple;not included;multiple;not included
Shyam2013;multiple;multiple;multiple;not included;multiple;not included
Wein1999;multiple;multiple;multiple;not included;multiple;not included
Yu2012;not included;not included;single;not included;not included;not included
